text,clean_text,label
conversation about penetration testing tools,conversation about penetration testing tools,Low
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
discussion about digital safety,discussion about digital safety,Low
forum talking about password cracking methods,forum talking about password cracking methods,High
cybersecurity forum post about exploits,cybersecurity forum post about exploits,Medium
forum debate on encryption weaknesses,forum debate on encryption weaknesses,Low
SecureNet customer database breach reported,securenet customer database breach reported,High
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
hacker selling 5000 user passwords,hacker selling  user passwords,High
ransomware attack planned against SecureNet,ransomware attack planned against securenet,Medium
database dump of CloudAxis leaked online,database dump of cloudaxis leaked online,High
how to secure personal devices online,how to secure personal devices online,Low
admin credentials leaked from CyberTrust,admin credentials leaked from cybertrust,High
dump of 7000 emails and passwords available,dump of  emails and passwords available,High
database dump of DataVault leaked online,database dump of datavault leaked online,High
discussion about hacking tools,discussion about hacking tools,Medium
database dump of BankCorp leaked online,database dump of bankcorp leaked online,High
discussion on ransomware techniques,discussion on ransomware techniques,Medium
general cybersecurity news,general cybersecurity news,Low
database dump of DataVault leaked online,database dump of datavault leaked online,High
guide to secure web applications,guide to secure web applications,Low
news about new data protection laws,news about new data protection laws,Low
admin credentials leaked from CloudAxis,admin credentials leaked from cloudaxis,High
hacker selling 500 user passwords,hacker selling  user passwords,High
conversation about penetration testing tools,conversation about penetration testing tools,Low
credit card data from GlobalFinance for sale,credit card data from globalfinance for sale,High
cybersecurity awareness article,cybersecurity awareness article,Low
discussion about network security flaws,discussion about network security flaws,Low
discussion about hacking tools,discussion about hacking tools,Medium
admin credentials leaked from CloudAxis,admin credentials leaked from cloudaxis,High
discussion about online privacy,discussion about online privacy,Low
conversation about penetration testing tools,conversation about penetration testing tools,Low
discussion about online privacy,discussion about online privacy,Low
discussion about network security flaws,discussion about network security flaws,Low
ransomware attack planned against SecureNet,ransomware attack planned against securenet,Medium
how to secure personal devices online,how to secure personal devices online,Low
FinSecure customer database breach reported,finsecure customer database breach reported,High
discussion about network security flaws,discussion about network security flaws,Low
blog post about protecting accounts,blog post about protecting accounts,Low
general cybersecurity news,general cybersecurity news,Low
general cybersecurity news,general cybersecurity news,Low
selling 7000 bank account passwords,selling  bank account passwords,High
conversation about penetration testing tools,conversation about penetration testing tools,Low
cybersecurity awareness article,cybersecurity awareness article,Low
discussion about network security flaws,discussion about network security flaws,Low
blog post about protecting accounts,blog post about protecting accounts,Low
private database of NetSecure exposed,private database of netsecure exposed,High
dump of 7000 emails and passwords available,dump of  emails and passwords available,High
private database of NetSecure exposed,private database of netsecure exposed,High
tips for creating strong passwords,tips for creating strong passwords,High
discussion about hacking tools,discussion about hacking tools,Medium
how to secure personal devices online,how to secure personal devices online,Low
discussion about hacking tools,discussion about hacking tools,Medium
discussion about digital safety,discussion about digital safety,Low
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
financial records stolen from CloudAxis,financial records stolen from cloudaxis,Low
article about cyber hygiene,article about cyber hygiene,Low
cybersecurity forum post about exploits,cybersecurity forum post about exploits,Medium
hacker selling 500 user passwords,hacker selling  user passwords,High
dump of 3000 emails and passwords available,dump of  emails and passwords available,High
discussion about hacking tools,discussion about hacking tools,Medium
forum debate on encryption weaknesses,forum debate on encryption weaknesses,Low
database dump of CloudAxis leaked online,database dump of cloudaxis leaked online,High
dump of 5000 emails and passwords available,dump of  emails and passwords available,High
article about cyber hygiene,article about cyber hygiene,Low
news about new data protection laws,news about new data protection laws,Low
forum talking about password cracking methods,forum talking about password cracking methods,High
forum talking about password cracking methods,forum talking about password cracking methods,High
NetSecure customer database breach reported,netsecure customer database breach reported,High
discussion about digital safety,discussion about digital safety,Low
financial records stolen from TechNova,financial records stolen from technova,Low
general cybersecurity news,general cybersecurity news,Low
discussion about online privacy,discussion about online privacy,Low
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
admin credentials leaked from DataSphere,admin credentials leaked from datasphere,High
blog post about protecting accounts,blog post about protecting accounts,Low
conversation about penetration testing tools,conversation about penetration testing tools,Low
discussion about digital safety,discussion about digital safety,Low
forum debate on encryption weaknesses,forum debate on encryption weaknesses,Low
general cybersecurity news,general cybersecurity news,Low
admin credentials leaked from CloudAxis,admin credentials leaked from cloudaxis,High
users discussing database vulnerabilities,users discussing database vulnerabilities,High
how to secure personal devices online,how to secure personal devices online,Low
ransomware attack planned against GlobalFinance,ransomware attack planned against globalfinance,Medium
private database of CloudAxis exposed,private database of cloudaxis exposed,High
forum debate on encryption weaknesses,forum debate on encryption weaknesses,Low
ransomware attack planned against CyberTrust,ransomware attack planned against cybertrust,Medium
how to secure personal devices online,how to secure personal devices online,Low
dump of 10000 emails and passwords available,dump of  emails and passwords available,High
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
credit card data from NetSecure for sale,credit card data from netsecure for sale,High
selling 500 bank account passwords,selling  bank account passwords,High
discussion about hacking tools,discussion about hacking tools,Medium
general cybersecurity news,general cybersecurity news,Low
financial records stolen from SecureNet,financial records stolen from securenet,Low
admin credentials leaked from GlobalFinance,admin credentials leaked from globalfinance,High
hackers discussing system vulnerabilities,hackers discussing system vulnerabilities,Medium
selling 5000 bank account passwords,selling  bank account passwords,High
guide to secure web applications,guide to secure web applications,Low
dump of 15000 emails and passwords available,dump of  emails and passwords available,High
